/Users/demir/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-09-15 12:49:09,204 - INFO - Processing product 25/60: MSC (Multi Sun Cream) 40 ml
2025-09-15 12:49:09,204 - INFO - Fetching: https://nurederm.com/urun/msc-multi-sun-cream-40-ml
2025-09-15 12:49:09,367 - INFO - Downloaded: MSC-Multi-Sun-Cream-40-ml-1.jpg
2025-09-15 12:49:09,387 - INFO - Downloaded: MSC-Multi-Sun-Cream-40-ml-2.jpg
2025-09-15 12:49:09,431 - INFO - Downloaded: MSC-Multi-Sun-Cream-40-ml-3.jpg
2025-09-15 12:49:09,501 - INFO - Downloaded: MSC-Multi-Sun-Cream-40-ml-4.jpg
2025-09-15 12:49:09,551 - INFO - Downloaded: MSC-Multi-Sun-Cream-40-ml-5.jpg
2025-09-15 12:49:10,555 - INFO - Processing product 26/60: USC (Ultra Shield Sun Cream) 50 ml
2025-09-15 12:49:10,556 - INFO - Fetching: https://nurederm.com/urun/usc-ultra-shield-sun-cream-50-ml
2025-09-15 12:49:10,702 - INFO - Downloaded: USC-Ultra-Shield-Sun-Cream-50-ml-1.jpg
2025-09-15 12:49:10,723 - INFO - Downloaded: USC-Ultra-Shield-Sun-Cream-50-ml-2.jpg
2025-09-15 12:49:10,767 - INFO - Downloaded: USC-Ultra-Shield-Sun-Cream-50-ml-3.jpg
2025-09-15 12:49:10,817 - INFO - Downloaded: USC-Ultra-Shield-Sun-Cream-50-ml-4.jpg
2025-09-15 12:49:10,867 - INFO - Downloaded: USC-Ultra-Shield-Sun-Cream-50-ml-5.jpg
2025-09-15 12:49:11,872 - INFO - Processing product 27/60: Moisture Replenishing Hyaluron Cream 250 ml
2025-09-15 12:49:11,872 - INFO - Fetching: https://nurederm.com/urun/moisture-replenishing-hyaluron-cream-250-ml
